area_type,availability,location,size(BHK),total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,Under Construction,Electronic City Phase II,2.0,1056.0,2.0,1.0,39.07,0.03699810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,4.0,2600.0,5.0,3.0,120.0,0.046153846153846156
Built-up  Area,Ready To Move,Uttarahalli,3.0,1440.0,2.0,3.0,62.0,0.043055555555555555
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,1521.0,3.0,1.0,95.0,0.062458908612754764
Super built-up  Area,Ready To Move,Kothanur,2.0,1200.0,2.0,1.0,51.0,0.0425
Super built-up  Area,Ready To Move,Whitefield,2.0,1170.0,2.0,1.0,38.0,0.03247863247863248
Super built-up  Area,Under Construction,Old Airport Road,4.0,2732.0,4.0,2.0,204.0,0.0746705710102489
Super built-up  Area,Ready To Move,Rajaji Nagar,4.0,3300.0,4.0,2.0,600.0,0.18181818181818182
Super built-up  Area,Ready To Move,Marathahalli,3.0,1310.0,3.0,1.0,63.25,0.048282442748091604
Plot  Area,Ready To Move,Other,6.0,1020.0,6.0,2.0,370.0,0.3627450980392157
Super built-up  Area,Under Construction,Whitefield,3.0,1800.0,2.0,2.0,70.0,0.03888888888888889
Plot  Area,Ready To Move,Whitefield,4.0,2785.0,5.0,3.0,295.0,0.1059245960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,1.0,38.0,0.038
Built-up  Area,Ready To Move,Gottigere,2.0,1100.0,2.0,2.0,40.0,0.03636363636363636
Plot  Area,Ready To Move,Sarjapur,3.0,2250.0,3.0,2.0,148.0,0.06577777777777778
Super built-up  Area,Ready To Move,Mysore Road,2.0,1175.0,2.0,2.0,73.5,0.0625531914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,1180.0,3.0,2.0,48.0,0.04067796610169491
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,1540.0,3.0,3.0,60.0,0.03896103896103896
Super built-up  Area,Ready To Move,Other,3.0,2770.0,4.0,2.0,290.0,0.10469314079422383
Super built-up  Area,Ready To Move,Other,2.0,1100.0,2.0,2.0,48.0,0.04363636363636364
Built-up  Area,Ready To Move,Kengeri,1.0,600.0,1.0,1.0,15.0,0.025
Super built-up  Area,Under Construction,Binny Pete,3.0,1755.0,3.0,1.0,122.0,0.06951566951566951
Plot  Area,Ready To Move,Thanisandra,4.0,2800.0,5.0,2.0,380.0,0.1357142857142857
Super built-up  Area,Ready To Move,Bellandur,3.0,1767.0,3.0,1.0,103.0,0.058290888511601587
Super built-up  Area,Under Construction,Thanisandra,1.0,510.0,1.0,0.0,25.25,0.049509803921568625
Super built-up  Area,Under Construction,Other,3.0,1250.0,3.0,2.0,56.0,0.0448
Super built-up  Area,Ready To Move,Electronic City,2.0,660.0,1.0,1.0,23.1,0.035
Built-up  Area,Under Construction,Whitefield,3.0,1610.0,3.0,2.0,81.0,0.05031055900621118
Super built-up  Area,Under Construction,Ramagondanahalli,2.0,1151.0,2.0,2.0,48.77,0.04237185056472633
Super built-up  Area,Ready To Move,Electronic City,3.0,1025.0,2.0,1.0,47.0,0.045853658536585365
Super built-up  Area,Under Construction,Yelahanka,4.0,2475.0,4.0,0.0,186.0,0.07515151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,1075.0,2.0,1.0,35.0,0.03255813953488372
Super built-up  Area,Ready To Move,Hebbal,3.0,1760.0,2.0,2.0,123.0,0.06988636363636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,1693.0,3.0,3.0,57.39,0.0338984051978736
Built-up  Area,Ready To Move,Kasturi Nagar,3.0,1925.0,3.0,2.0,125.0,0.06493506493506493
Super built-up  Area,Under Construction,Kanakpura Road,2.0,700.0,2.0,1.0,36.0,0.05142857142857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1070.0,2.0,1.0,45.5,0.04252336448598131
Super built-up  Area,Ready To Move,Kundalahalli,3.0,1724.0,3.0,2.0,125.0,0.07250580046403712
Super built-up  Area,Ready To Move,Chikkalasandra,3.0,1290.0,2.0,2.0,56.12,0.043503875968992245
Built-up  Area,Ready To Move,Uttarahalli,2.0,1143.0,2.0,2.0,45.0,0.03937007874015748
Built-up  Area,Ready To Move,Murugeshpalya,2.0,1296.0,2.0,2.0,81.0,0.0625
Super built-up  Area,Under Construction,Sarjapur  Road,3.0,1254.0,3.0,2.0,38.0,0.030303030303030304
Super built-up  Area,Ready To Move,Other,1.0,600.0,1.0,0.0,38.0,0.06333333333333334
Plot  Area,Ready To Move,Yelahanka,1.0,660.0,1.0,0.0,48.0,0.07272727272727272
Super built-up  Area,Under Construction,Kanakpura Road,2.0,1330.74,2.0,2.0,91.79,0.0689766596029277
Plot  Area,Ready To Move,HSR Layout,8.0,600.0,9.0,2.0,200.0,0.3333333333333333
Super built-up  Area,Ready To Move,Doddathoguru,2.0,970.0,2.0,0.0,33.0,0.03402061855670103
Super built-up  Area,Under Construction,Whitefield,2.0,1459.0,2.0,1.0,94.82,0.06498971898560657
Plot  Area,Ready To Move,KR Puram,2.0,800.0,1.0,1.0,130.0,0.1625
Built-up  Area,Ready To Move,Other,2.0,869.0,2.0,1.0,36.0,0.04142692750287687
Super built-up  Area,Ready To Move,Other,2.0,1270.0,2.0,1.0,50.0,0.03937007874015748
Super built-up  Area,Under Construction,Bhoganhalli,3.0,1670.0,3.0,1.0,99.0,0.0592814371257485
Built-up  Area,Ready To Move,Whitefield,3.0,2010.0,3.0,2.0,91.0,0.04527363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,1185.0,2.0,2.0,75.0,0.06329113924050633
Super built-up  Area,Ready To Move,Yelahanka,3.0,1600.0,2.0,3.0,75.0,0.046875
Super built-up  Area,Ready To Move,Begur Road,2.0,1200.0,2.0,2.0,44.0,0.03666666666666667
Built-up  Area,Under Construction,Devanahalli,4.0,3210.0,2.0,2.0,192.0,0.059813084112149535
Super built-up  Area,Ready To Move,Other,2.0,1500.0,2.0,2.0,185.0,0.12333333333333334
Plot  Area,Ready To Move,Murugeshpalya,6.0,1407.0,4.0,1.0,150.0,0.10660980810234541
Super built-up  Area,Ready To Move,Other,2.0,840.0,2.0,2.0,45.0,0.05357142857142857
Plot  Area,Ready To Move,Other,3.0,4395.0,3.0,2.0,240.0,0.05460750853242321
Super built-up  Area,Ready To Move,Other,2.0,845.0,2.0,1.0,55.0,0.0650887573964497
Plot  Area,Ready To Move,Whitefield,4.0,5700.0,5.0,3.0,650.0,0.11403508771929824
Built-up  Area,Ready To Move,Varthur,2.0,1160.0,2.0,2.0,44.0,0.03793103448275862
Built-up  Area,Ready To Move,Bommanahalli,8.0,3000.0,8.0,0.0,140.0,0.04666666666666667
Super built-up  Area,Ready To Move,Doddathoguru,2.0,1100.0,2.0,1.0,62.0,0.056363636363636366
Super built-up  Area,Under Construction,Gunjur,2.0,1140.0,2.0,3.0,43.0,0.037719298245614034
Super built-up  Area,Ready To Move,Marathahalli,2.0,1220.0,2.0,1.0,57.0,0.04672131147540984
Plot  Area,Ready To Move,Devarachikkanahalli,8.0,1350.0,7.0,0.0,85.0,0.06296296296296296
Super built-up  Area,Ready To Move,Kanakpura Road,2.0,1005.0,2.0,1.0,36.68,0.03649751243781094
Plot  Area,Ready To Move,Other,3.0,500.0,3.0,2.0,100.0,0.2
Super built-up  Area,Under Construction,Begur Road,2.0,1358.0,2.0,1.0,80.58,0.05933726067746686
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1569.0,3.0,1.0,101.0,0.06437221159974506
Super built-up  Area,Under Construction,Haralur Road,2.0,1240.0,2.0,1.0,70.0,0.056451612903225805
Super built-up  Area,Ready To Move,Hennur Road,3.0,2089.0,3.0,2.0,140.0,0.06701771182383916
Super built-up  Area,Ready To Move,Kothannur,2.0,1206.0,2.0,1.0,48.23,0.03999170812603648
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1150.0,2.0,3.0,40.0,0.034782608695652174
Built-up  Area,Ready To Move,Other,3.0,2511.0,3.0,3.0,205.0,0.08164078056551174
Built-up  Area,Ready To Move,Kaval Byrasandra,2.0,460.0,1.0,0.0,22.0,0.04782608695652174
Built-up  Area,Ready To Move,ISRO Layout,6.0,4400.0,6.0,3.0,250.0,0.056818181818181816
Super built-up  Area,Ready To Move,Other,3.0,1660.0,2.0,2.0,105.0,0.06325301204819277
Built-up  Area,Under Construction,Hennur Road,4.0,3203.5,2.0,2.0,224.5,0.07007960043702201
Super built-up  Area,Under Construction,Yelahanka,2.0,1326.0,2.0,2.0,78.0,0.058823529411764705
