area_type,availability,location,size(BHK),total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3.0,1875.0,3.0,1.0,167.0,8906.666666666666
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,1394.0,2.0,1.0,100.0,7173.601147776184
Super built-up  Area,Under Construction,1st Phase JP Nagar,2.0,1077.0,2.0,2.0,93.0,8635.097493036212
Built-up  Area,Ready To Move,1st Phase JP Nagar,1.0,1280.0,1.0,1.0,63.0,4921.875
Built-up  Area,Ready To Move,1st Phase JP Nagar,1.0,840.0,2.0,2.0,50.0,5952.380952380952
Super built-up  Area,Under Construction,1st Phase JP Nagar,3.0,1590.0,3.0,3.0,131.0,8238.993710691824
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,1180.0,2.0,2.0,88.5,7500.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,1200.0,2.0,2.0,86.0,7166.666666666667
Built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,1394.0,2.0,2.0,85.0,6097.5609756097565
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,1205.0,2.0,1.0,85.0,7053.941908713693
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,900.0,2.0,1.0,75.0,8333.333333333334
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,1206.0,2.0,2.0,56.0,4643.449419568822
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3.0,1270.0,2.0,2.0,70.0,5511.811023622047
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,1312.0,2.0,3.0,69.0,5259.146341463415
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,1100.0,2.0,2.0,48.0,4363.636363636364
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1075.0,2.0,2.0,60.0,5581.395348837209
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1150.0,3.0,3.0,52.5,4565.217391304348
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1256.0,2.0,1.0,62.8,5000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1207.0,2.0,2.0,63.0,5219.552609776305
Built-up  Area,Ready To Move,5th Phase JP Nagar,3.0,1725.0,2.0,2.0,100.0,5797.101449275362
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1440.0,2.0,2.0,60.0,4166.666666666667
Built-up  Area,Ready To Move,5th Phase JP Nagar,3.0,1700.0,2.0,3.0,100.0,5882.35294117647
Built-up  Area,Ready To Move,5th Phase JP Nagar,1.0,600.0,1.0,1.0,30.0,5000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1390.0,2.0,2.0,65.0,4676.258992805755
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1000.0,2.0,0.0,48.0,4800.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3.0,1350.0,2.0,1.0,75.0,5555.555555555556
